NAME	9CT0_alpha2_score	9CRV_alpha1_score	docking_ratio
TRN_CHEMBL120838	-8.6270	-8.9320	0.9659
TRN_CHEMBL121277	-8.3940	-8.8720	0.9461
TRN_CHEMBL122619	-8.7230	-9.5350	0.9148
TRN_CHEMBL123530	-9.3340	-8.7360	1.0685
TRN_CHEMBL123882	-9.2970	-10.2500	0.9070
TRN_CHEMBL17574	-6.3360	-6.2970	1.0062
TRN_CHEMBL178738	-8.5830	-7.9430	1.0806
TRN_CHEMBL179474	-9.3140	-8.5680	1.0871
TRN_CHEMBL179737	-9.6100	-9.8310	0.9775
TRN_CHEMBL291335	-6.9660	-7.3510	0.9476
TRN_CHEMBL305068	-9.1550	-9.0920	1.0069
TRN_CHEMBL332893	-8.9310	-9.5970	0.9306
TRN_CHEMBL334246	-8.4870	-8.7660	0.9682
TRN_CHEMBL360733	-9.3810	-9.4690	0.9907
TRN_CHEMBL361015	-9.7160	-9.5350	1.0190
TRN_CHEMBL361105	-8.5020	-8.3410	1.0193
TRN_CHEMBL432542	-6.4060	-6.3040	1.0162
TRN_CHEMBL505768	-8.3360	-8.4000	0.9924
TRN_CHEMBL50581	-9.3670	-10.9800	0.8531
TRN_CHEMBL522055	-7.4140	-7.2140	1.0277
TRN_CHEMBL52672	-8.8010	-10.7300	0.8202
